Province,Year,Direct_model_avg,Gross_model_avg,Finance_cost_impact,Gross_minus_finance
Alberta,2021,370.661989251818,597.9999999999999,598.0,-1.1368683772161603e-13
Alberta,2024,946.4998491325664,1056.0,1056.0,0.0
Manitoba,2021,294.12709451574403,462.0000000000001,462.0,1.1368683772161603e-13
Manitoba,2024,643.640426470876,828.0000000000001,828.0,1.1368683772161603e-13
Ontario,2021,267.4640178569544,439.0,439.0,0.0
Ontario,2024,566.7972272859507,869.0,869.0,0.0
Saskatchewan,2021,363.08303168712365,719.9999999999999,720.0,-1.1368683772161603e-13
Saskatchewan,2024,795.7483209432618,1156.0000000000002,1156.0,2.2737367544323206e-13
