Province,Year,Measure,Kakwani,Gini_expenditure,Concentration,Total_net_revenue
Alberta,2019,direct_tax,,0.27672836577920346,,0.0
Alberta,2019,gross_cost,,0.27672836577920346,,0.0
Alberta,2019,net_single_base,,0.27672836577920346,,0.0
Alberta,2020,direct_tax,-0.12723995967300517,0.2747529401444,0.14751298047139483,561525033.3187926
Alberta,2020,gross_cost,-0.12723995967300517,0.2747529401444,0.14751298047139483,975784370.3518627
Alberta,2020,net_single_base,0.3513833140200797,0.2747529401444,0.6261362541644797,207091610.3518626
Alberta,2021,direct_tax,-0.10878073506717567,0.259759796906905,0.1509790618397293,642873559.5244284
Alberta,2021,gross_cost,-0.10878073506717567,0.259759796906905,0.1509790618397293,1037167013.9999998
Alberta,2021,net_single_base,0.5131260861926108,0.259759796906905,0.7728858830995158,187314443.99999988
Alberta,2022,direct_tax,-0.1256242440242895,0.27592720785468317,0.15030296383039365,888185778.255819
Alberta,2022,gross_cost,-0.1256242440242895,0.27592720785468317,0.15030296383039365,1322437278.6976438
Alberta,2022,net_single_base,0.21039344978839702,0.27592720785468317,0.4863206576430802,370954592.69764364
Alberta,2023,direct_tax,-0.14036009002516137,0.27806871622135776,0.1377086261961964,1465322485.4153497
Alberta,2023,gross_cost,-0.14036009002516137,0.27806871622135776,0.1377086261961964,1908296237.3916292
Alberta,2023,net_single_base,0.210997273424541,0.27806871622135776,0.48906598964589876,490028017.39162934
Alberta,2024,direct_tax,-0.13864100090560683,0.2843771528879623,0.14573615198235546,1812397664.1127017
Alberta,2024,gross_cost,-0.13864100090560683,0.2843771528879623,0.14573615198235546,2022073152.0
Alberta,2024,net_single_base,0.5827472387194224,0.2843771528879623,0.8671243916073846,298715352.0000001
Alberta,2025,direct_tax,,0.2843771528879623,,0.0
Alberta,2025,gross_cost,,0.2843771528879623,,0.0
Alberta,2025,net_single_base,,0.2843771528879623,,0.0
Manitoba,2019,direct_tax,-0.04081155409874515,0.2918524262630302,0.25104087216428506,93678816.78700897
Manitoba,2019,gross_cost,-0.04081155409874526,0.2918524262630302,0.25104087216428495,160463198.38635206
Manitoba,2019,net_single_base,0.2544544912767237,0.2918524262630302,0.5463069175397539,68511388.38635206
Manitoba,2020,direct_tax,-0.038242828705807086,0.29079524371918597,0.2525524150133789,149609603.82699174
Manitoba,2020,gross_cost,-0.038242828705807086,0.29079524371918597,0.2525524150133789,245633355.17494142
Manitoba,2020,net_single_base,0.21589759155706445,0.29079524371918597,0.5066928352762504,112969206.1749414
Manitoba,2021,direct_tax,-0.033041895561888746,0.274833246810101,0.24179135124821227,160811930.03682145
Manitoba,2021,gross_cost,-0.033041895561888746,0.274833246810101,0.24179135124821227,252595266.00000006
Manitoba,2021,net_single_base,0.6967887951504513,0.274833246810101,0.9716220419605524,55767786.00000003
Manitoba,2022,direct_tax,-0.03259489323528353,0.28968117700199136,0.25708628376670783,188139456.75878018
Manitoba,2022,gross_cost,-0.032594893235283307,0.28968117700199136,0.25708628376670806,282147155.26747864
Manitoba,2022,net_single_base,0.9831276907928637,0.28968117700199136,1.272808867794855,50696819.26747864
Manitoba,2023,direct_tax,-0.032870641157520475,0.2788083432612445,0.245937702103724,283439341.94994366
Manitoba,2023,gross_cost,-0.032870641157520586,0.2788083432612445,0.2459377021037239,394845580.0617677
Manitoba,2023,net_single_base,0.6842845445262822,0.2788083432612445,0.9630928877875267,94662268.06176773
Manitoba,2024,direct_tax,-0.02973058399317363,0.28899153468061656,0.2592609506874429,373577270.84924054
Manitoba,2024,gross_cost,-0.02973058399317363,0.28899153468061656,0.2592609506874429,480581964.00000006
Manitoba,2024,net_single_base,0.5730267593674708,0.28899153468061656,0.8620182940480874,132334164.00000006
Manitoba,2025,direct_tax,,0.28899153468061656,,0.0
Manitoba,2025,gross_cost,,0.28899153468061656,,0.0
Manitoba,2025,net_single_base,,0.28899153468061656,,0.0
Ontario,2019,direct_tax,-0.09850301049358157,0.31156158506725395,0.2130585745736724,907697961.5780301
