Year,Province,Direct_model_avg,Gross_model_avg,Finance_cost_impact,Gross_minus_finance
2021,Ontario,234.43668065921915,439.0,439,0.0
2021,Manitoba,218.01255409852047,462.0000000000001,462,1.1368683772161603e-13
2021,Saskatchewan,292.4104224968858,720.0,720,0.0
2021,Alberta,308.7048760974038,598.0,598,0.0
2024,Ontario,492.9095009993154,869.0,869,0.0
2024,Manitoba,495.97316239881246,828.0000000000001,828,1.1368683772161603e-13
2024,Saskatchewan,653.9163448508973,1156.0,1156,0.0
2024,Alberta,812.2562872362934,1056.0,1056,0.0
